Category,Description,Price,Location,"Image URL"
Voitures,"🚘 Toyota Hilux 4*4 🚘"," TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=77/77ea625b-ec10-47fd-9c55-a47ba0bff657&w=100&w=300
Téléphones,"SAMSUNG A14 GARANTIE 128/6 Ram","620 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=4c/4c26e885-70af-48c4-8650-af77fdb57179&w=300
"Ordinateurs portables"," MacBook air ","850 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=1b/1bf72f24-ada3-410b-bddc-17fbffaa9d20&w=300
"Stocks et Vente en gros","زيت زيتون بكر ممتاز ","25 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=83/834bedc2-0c7c-4fd7-bf62-4879783c1f1f&w=300
Voitures,"vente d'une voiture I10","27998 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=d7/d75445a9-1830-473e-b4ee-acea2f038282&w=300
"Accessoires informatiques et Gadgets","smart watch "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=55/55f9b73b-58b2-41e3-b145-57d6ea214124&w=300
"Maisons et Villas","Villa Al-Ons à Vendre à L’Aouina","1900000 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=9f/9f4f51d7-ad47-4d03-9676-bb2577d7af5c&w=100&w=300
Appartements,"S+2 en vente a Rejiche","160000 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=18/180283b0-f093-4f8a-b48e-df9a3d4d421a&w=300
"Ordinateurs portables","Nouvelle arrivage : Des pc siemens/8G avec écran 20 pouce","550 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=82/824aabe0-fa62-410f-96dc-461935dfa6c4&w=300
Appartements,"S+2 en Vente a Rejiche ","280000 TND","Mahdia, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ab/ab96122d-bf02-4022-9685-5630f56159bb&w=300
Téléphones,"iphone 11 Pro🔲Neuf validé","1240 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=42/42ec247d-254e-4bc6-94f2-dc7bb0a30ba6&w=300
Appartements,"🏡 A vendre appartement S+3 avec place de parking sous-sol à cité Wahat l'Aouina","293000 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=b2/b28dc1df-334e-4cf4-9116-dd0ab9ec0ecf&w=300
"Sports et Loisirs","stpper importé robuste solide et pratique","270 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=c1/c19e3f47-3bf2-4553-a613-bfa68996f191&w=300
"Jeux vidéo et Consoles","jeux ps5","90 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=0b/0b9837ad-42ed-4ce9-a675-37c17262b083&w=300
"Offres d'emploi","Librairie-Service Informatique"," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=2c/2ce21ab6-bf67-4eae-9996-ea946118607a&w=300
"Maisons et Villas","vente villa ariana plein pied jardin terrasse enkhilet ","479000 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=27/27cabb5a-173c-4027-8920-3d9ac090b7ac&w=100&w=300
Appartements,"vente soukra chotrana1 s+2 haut standing R+2","360000 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=27/27cabb5a-173c-4027-8920-3d9ac090b7ac&w=100&w=300
